PRIMARY_KEY_CONSTRAINT;dbo;PK__Article__3214EC2763190097
PRIMARY_KEY_CONSTRAINT;dbo;PK__ArticleI__3214EC27B098FF86
PRIMARY_KEY_CONSTRAINT;dbo;PK__Carriage__3214EC2784B5A3BD
PRIMARY_KEY_CONSTRAINT;dbo;PK__Contract__3214EC27521A9F6D
PRIMARY_KEY_CONSTRAINT;dbo;PK__Contract__3214EC2762466318
PRIMARY_KEY_CONSTRAINT;dbo;PK__Document__3214EC272A543CBB
PRIMARY_KEY_CONSTRAINT;dbo;PK__Item__3214EC274F21C1E9
PRIMARY_KEY_CONSTRAINT;dbo;PK__Place__3214EC278F2D61D6
PRIMARY_KEY_CONSTRAINT;dbo;PK__Route__3214EC279DA9D8B7
PRIMARY_KEY_CONSTRAINT;dbo;PK__sysdiagr__C2B05B61A0EC5F26
PRIMARY_KEY_CONSTRAINT;sys;PK__TT_Artic__9C6270C9BA570C09
PRIMARY_KEY_CONSTRAINT;sys;PK__TT_IdLis__3214EC27A5C80767
SEQUENCE_OBJECT;dbo;Sequence_ArticleInDocument
SEQUENCE_OBJECT;dbo;Sequence_CarriageNumber
SEQUENCE_OBJECT;dbo;Sequence_Documents
SEQUENCE_OBJECT;dbo;Sequence_Object
SQL_SCALAR_FUNCTION;dbo;fn_diagramobjects
SQL_SCALAR_FUNCTION;dbo;GetDefaultBarcode
SQL_STORED_PROCEDURE;dbo;Abort
SQL_STORED_PROCEDURE;dbo;ArticleInCarriageAdd
SQL_STORED_PROCEDURE;dbo;ArticleInDocumentNewNumberGet
SQL_STORED_PROCEDURE;dbo;CarriageAdd
SQL_STORED_PROCEDURE;dbo;CarriageFromBandedToSent
SQL_STORED_PROCEDURE;dbo;CarriageFromSentToArrived
SQL_STORED_PROCEDURE;dbo;CarriageNewNumberGet
SQL_STORED_PROCEDURE;dbo;CarriageToBanded
SQL_STORED_PROCEDURE;dbo;ContractAdd
SQL_STORED_PROCEDURE;dbo;DocumentNewNumberGet
SQL_STORED_PROCEDURE;dbo;DocumentsAdd
SQL_STORED_PROCEDURE;dbo;sp_alterdiagram
SQL_STORED_PROCEDURE;dbo;sp_creatediagram
SQL_STORED_PROCEDURE;dbo;sp_dropdiagram
SQL_STORED_PROCEDURE;dbo;sp_helpdiagramdefinition
SQL_STORED_PROCEDURE;dbo;sp_helpdiagrams
SQL_STORED_PROCEDURE;dbo;sp_renamediagram
SQL_STORED_PROCEDURE;dbo;sp_upgraddiagrams
TYPE_TABLE;sys;TT_ArticleInDocumentList_02084FDA
TYPE_TABLE;sys;TT_IdList_75A278F5
USER_TABLE;dbo;Article
USER_TABLE;dbo;ArticleInCarriage
USER_TABLE;dbo;ArticleInDocument
USER_TABLE;dbo;ArticlePlace
USER_TABLE;dbo;Carriage
USER_TABLE;dbo;CarriagePlace
USER_TABLE;dbo;Contract
USER_TABLE;dbo;Contractor
USER_TABLE;dbo;Documents
USER_TABLE;dbo;Item
USER_TABLE;dbo;Place
USER_TABLE;dbo;Route
USER_TABLE;dbo;sysdiagrams
